stack size              (kbytes, -s) unlimited
>Sequential time = 0.864592, Parallel time = 0.627301, Speedup = 1.378273, Version = 1
>Sequential time = 0.778111, Parallel time = 0.107322, Speedup = 7.250232, Version = 2
>Sequential time = 0.778548, Parallel time = 0.125491, Speedup = 6.204019, Version = 3
>Sequential time = 0.780811, Parallel time = 0.108094, Speedup = 7.223444, Version = 4
>Sequential time = 0.837665, Parallel time = 0.114601, Speedup = 7.309411, Version = 5
>Sequential time = 0.778958, Parallel time = 0.099517, Speedup = 7.827379, Version = 6
>Sequential time = 0.778318, Parallel time = 0.076062, Speedup = 10.232683, Version = 7
>Sequential time = 0.778814, Parallel time = 0.082284, Speedup = 9.464952, Version = 8
>Sequential time = 0.780005, Parallel time = 0.140427, Speedup = 5.554528, Version = 9
>Sequential time = 0.777245, Parallel time = 0.111460, Speedup = 6.973311, Version = 10
>Sequential time = 2.520253, Parallel time = 6.310079, Speedup = 0.399401, Version = 1
>Sequential time = 2.790055, Parallel time = 0.385181, Speedup = 7.243492, Version = 2
>Sequential time = 2.904456, Parallel time = 0.321405, Speedup = 9.036750, Version = 3
>Sequential time = 2.916597, Parallel time = 0.307627, Speedup = 9.480953, Version = 4
>Sequential time = 2.869139, Parallel time = 0.450410, Speedup = 6.370059, Version = 5
>Sequential time = 2.903403, Parallel time = 0.360483, Speedup = 8.054204, Version = 6
>Sequential time = 2.445349, Parallel time = 0.646819, Speedup = 3.780576, Version = 7
>Sequential time = 2.913249, Parallel time = 0.671139, Speedup = 4.340754, Version = 8
>Sequential time = 3.037915, Parallel time = 0.520774, Speedup = 5.833463, Version = 9
>Sequential time = 2.820902, Parallel time = 0.401678, Speedup = 7.022793, Version = 10
